language,word,value
DE,verliebt,8.14
DE,peace,8.0
DE,frieden,7.96
DE,humor,7.94
DE,liebe,7.94
DE,wunderschÃ¶ne,7.92
DE,glÃ¼ck,7.92
DE,wunderschÃ¶nen,7.9
DE,freunde,7.9
DE,holiday,7.9
DE,freiheit,7.88
DE,lachen,7.84
DE,lieben,7.84
DE,urlaub,7.82
DE,perfekt,7.82
DE,glÃ¼cklich,7.82
DE,wunderschÃ¶n,7.8
DE,wunderbar,7.8
DE,love,7.8
DE,paradise,7.78
DE,freude,7.78
DE,weihnachtsfest,7.78
DE,sunshine,7.78
DE,kiss,7.76
DE,freundschaft,7.76
DE,schÃ¶nheit,7.76
DE,schÃ¶nste,7.76
DE,gesund,7.74
DE,spaÃŸ,7.72
DE,loves,7.72
DE,freund,7.72
DE,weihnachtszeit,7.7
DE,wonderful,7.7
DE,super,7.7
DE,happy,7.7
DE,freuen,7.68
DE,weihnachten,7.68
DE,liebes,7.66
DE,geburtstag,7.66
DE,glÃ¼ckwunsch,7.66
DE,liebt,7.66
DE,geschenke,7.64
DE,spass,7.64
DE,herrlich,7.64
DE,gewinner,7.64
DE,herzlich,7.64
DE,kisses,7.64
DE,happiness,7.62
DE,herz,7.62
DE,sun,7.62
DE,loving,7.6
DE,weihnachtsgeschenke,7.6
DE,christmas,7.6
DE,heiligabend,7.6
DE,erfolg,7.58
DE,kuscheln,7.58
DE,schokolade,7.58
DE,lecker,7.56
DE,reisen,7.56
DE,weihnachtsstimmung,7.56
DE,schÃ¶n,7.56
DE,sommer,7.56
DE,ferien,7.56
DE,positiv,7.56
DE,sonne,7.56
DE,harmonie,7.54
DE,positive,7.54
DE,lÃ¤cheln,7.54
DE,ausgezeichnet,7.52
DE,blumen,7.52
DE,witzig,7.52
DE,friends,7.52
DE,holidays,7.48
DE,familie,7.48
DE,herzlichen,7.48
DE,natur,7.48
DE,smile,7.48
DE,joy,7.48
DE,toll,7.46
DE,bester,7.46
DE,feierabend,7.46
DE,schÃ¶nes,7.46
DE,kuchen,7.46
DE,traum,7.46
DE,laughing,7.44
DE,genial,7.44
DE,hÃ¼bsch,7.44
DE,vertrauen,7.44
DE,freizeit,7.44
DE,genuss,7.44
DE,frÃ¶hliche,7.44
DE,begeisterung,7.44
DE,darling,7.44
DE,freue,7.44
DE,#urlaub,7.44
DE,birthday,7.42
DE,leidenschaft,7.42
DE,gewinnen,7.42
DE,geschenk,7.42
DE,heimat,7.42
DE,delicious,7.42
DE,herzen,7.42
DE,weihnachtsmann,7.42
DE,gesundes,7.42
DE,fantastic,7.42
DE,gewinn,7.4
DE,loved,7.4
DE,weihnachtsgeschenk,7.4
DE,trÃ¤umen,7.4
DE,winner,7.4
DE,feiertage,7.4
DE,oma,7.4
DE,weihnachtsmarkt,7.4
DE,lustige,7.4
DE,dankeschÃ¶n,7.4
DE,wochenende,7.4
DE,lovely,7.4
DE,wahrheit,7.4
DE,*smiles,7.38
DE,beautiful,7.38
DE,tolles,7.38
DE,feiern,7.38
DE,gerechtigkeit,7.38
DE,lustig,7.38
DE,erfolgreich,7.38
DE,schatz,7.38
DE,great,7.38
DE,sÃ¼ÃŸe,7.38
DE,weihnacht,7.38
DE,fun,7.38
DE,zufrieden,7.38
DE,hochzeit,7.36
DE,ferienhaus,7.36
DE,#weihnachten,7.36
DE,sÃ¼ÃŸ,7.36
DE,juhu,7.36
DE,party,7.36
DE,lach,7.34
DE,funny,7.34
DE,family,7.34
DE,geschenkeâ€,7.34
DE,prima,7.34
DE,success,7.34
DE,genieÃŸen,7.32
DE,welcome,7.32
DE,hahahaha,7.32
DE,beauty,7.32
DE,wellness,7.32
DE,gesundheit,7.32
DE,strand,7.32
DE,frohes,7.32
DE,gut,7.3
DE,bestanden,7.3
DE,liebsten,7.3
DE,wunder,7.3
DE,frei,7.3
DE,freunden,7.3
DE,hÃ¶hepunkt,7.3
DE,froh,7.3
DE,pretty,7.28
DE,summer,7.28
DE,treue,7.28
DE,smiles,7.28
DE,schenken,7.28
DE,gewonnen,7.28
DE,freundin,7.28
DE,schÃ¶nsten,7.28
DE,schÃ¶nen,7.26
DE,weekend,7.26
DE,music,7.26
DE,adorable,7.26
DE,gerettet,7.26
DE,nice,7.26
DE,friend,7.26
DE,lob,7.26
DE,beste,7.26
DE,engel,7.26
DE,friedens,7.26
DE,perfect,7.24
DE,lieb,7.24
