language,word,value
EN,laughter,8.5
EN,happiness,8.44
EN,love,8.42
EN,happy,8.3
EN,laughed,8.26
EN,laugh,8.22
EN,laughing,8.2
EN,excellent,8.18
EN,laughs,8.18
EN,joy,8.16
EN,successful,8.16
EN,win,8.12
EN,rainbow,8.1
EN,smile,8.1
EN,won,8.1
EN,pleasure,8.08
EN,smiled,8.08
EN,rainbows,8.06
EN,winning,8.04
EN,celebration,8.02
EN,enjoyed,8.02
EN,healthy,8.02
EN,music,8.02
EN,celebrating,8.0
EN,congratulations,8.0
EN,weekend,8.0
EN,celebrate,7.98
EN,comedy,7.98
EN,jokes,7.98
EN,rich,7.98
EN,victory,7.98
EN,christmas,7.96
EN,free,7.96
EN,friendship,7.96
EN,fun,7.96
EN,holidays,7.96
EN,loved,7.96
EN,loves,7.96
EN,loving,7.96
EN,beach,7.94
EN,hahaha,7.94
EN,kissing,7.94
EN,sunshine,7.94
EN,beautiful,7.92
EN,delicious,7.92
EN,friends,7.92
EN,funny,7.92
EN,outstanding,7.92
EN,paradise,7.92
EN,sweetest,7.92
EN,vacation,7.92
EN,butterflies,7.92
EN,freedom,7.9
EN,flower,7.88
EN,great,7.88
EN,sunlight,7.88
EN,sweetheart,7.88
EN,sweetness,7.88
EN,award,7.86
EN,chocolate,7.86
EN,hahahaha,7.86
EN,heaven,7.86
EN,peace,7.86
EN,splendid,7.86
EN,success,7.86
EN,enjoying,7.84
EN,kissed,7.84
EN,attraction,7.82
EN,celebrated,7.8
EN,hero,7.8
EN,hugs,7.8
EN,positive,7.8
EN,sun,7.8
EN,birthday,7.78
EN,blessed,7.78
EN,fantastic,7.78
EN,winner,7.78
EN,delight,7.78
EN,beauty,7.76
EN,butterfly,7.76
EN,entertainment,7.76
EN,funniest,7.76
EN,honesty,7.76
EN,sky,7.76
EN,smiles,7.76
EN,succeed,7.76
EN,wonderful,7.76
EN,glorious,7.74
EN,kisses,7.74
EN,promotion,7.74
EN,family,7.72
EN,gift,7.72
EN,humor,7.72
EN,romantic,7.72
EN,cupcakes,7.7
EN,festival,7.7
EN,hahahahaha,7.7
EN,honour,7.7
EN,relax,7.7
EN,weekends,7.7
EN,angel,7.68
EN,b-day,7.68
EN,bonus,7.68
EN,brilliant,7.68
EN,diamonds,7.68
EN,holiday,7.68
EN,lucky,7.68
EN,mother,7.68
EN,super,7.68
EN,amazing,7.66
EN,angels,7.66
EN,enjoy,7.66
EN,friend,7.66
EN,friendly,7.66
EN,mother's,7.66
EN,profit,7.66
EN,finest,7.66
EN,bday,7.64
EN,champion,7.64
EN,grandmother,7.64
EN,haha,7.64
EN,kiss,7.64
EN,kitten,7.64
EN,miracle,7.64
EN,mom,7.64
EN,sweet,7.64
EN,blessings,7.62
EN,bright,7.62
EN,cutest,7.62
EN,entertaining,7.62
EN,excited,7.62
EN,excitement,7.62
EN,joke,7.62
EN,millionaire,7.62
EN,prize,7.62
EN,succeeded,7.62
EN,successfully,7.62
EN,winners,7.62
EN,shines,7.6
EN,awesome,7.6
EN,genius,7.6
EN,achievement,7.58
EN,cake,7.58
EN,cheers,7.58
EN,exciting,7.58
EN,goodness,7.58
EN,hug,7.58
EN,income,7.58
EN,party,7.58
EN,puppy,7.58
EN,smiling,7.58
EN,song,7.58
EN,succeeding,7.58
EN,tasty,7.58
EN,victories,7.58
EN,achieved,7.56
EN,billion,7.56
EN,cakes,7.56
EN,easier,7.56
EN,flowers,7.56
EN,gifts,7.56
EN,gold,7.56
EN,merry,7.56
EN,families,7.54
EN,handsome,7.54
EN,lovers,7.54
EN,affection,7.53
EN,candy,7.52
EN,cute,7.52
EN,diamond,7.52
EN,earnings,7.52
EN,interesting,7.52
EN,peacefully,7.52
EN,praise,7.52
EN,relaxing,7.52
EN,roses,7.52
EN,saturdays,7.52
EN,faithful,7.51
EN,heavens,7.51
EN,cherish,7.5
EN,comfort,7.5
EN,congrats,7.5
EN,cupcake,7.5
EN,earn,7.5
EN,extraordinary,7.5
EN,glory,7.5
EN,hilarious,7.5
EN,moonlight,7.5
EN,optimistic,7.5
EN,peaceful,7.5
EN,romance,7.5
EN,feast,7.49
EN,attractive,7.48
EN,glad,7.48
EN,grandma,7.48
EN,internet,7.48
EN,pleasant,7.48
EN,profits,7.48
EN,smart,7.48
EN,x-mas,7.48
EN,babies,7.46
EN,cheer,7.46
EN,courage,7.46
EN,enthusiasm,7.46
EN,honest,7.46
EN,loyal,7.46
EN,opportunities,7.46
EN,triumph,7.46
EN,wow,7.46
EN,jewels,7.46
EN,forests,7.45
EN,apple,7.44
EN,dreams,7.44
EN,fantasy,7.44
EN,food,7.44
EN,honey,7.44
EN,miracles,7.44
EN,sex,7.44
EN,sing,7.44
EN,starlight,7.44
EN,thankful,7.44
EN,wins,7.44
EN,achieve,7.42
EN,adored,7.42
EN,cash,7.42
EN,dances,7.42
EN,gorgeous,7.42
EN,grandchildren,7.42
EN,incredible,7.42
EN,lunch,7.42
EN,mommy,7.42
EN,parties,7.42
EN,perfect,7.42
EN,saturday,7.42
EN,surprise,7.42
EN,truth,7.42
EN,blessing,7.4
EN,creative,7.4
EN,dinner,7.4
