language,word,value
ES,amor,8.68
ES,felicidad,8.6
ES,felicidades,8.48
ES,paz,8.42
ES,jajajajajajajajaja,8.42
ES,amar,8.38
ES,sonreir,8.38
ES,beso,8.36
ES,Ã©xito,8.34
ES,felÃ­z,8.34
ES,jajajajajajajajajaja,8.34
ES,Â¡feliz,8.34
ES,alegria,8.34
ES,enamorÃ©,8.32
ES,jajajajajajaja,8.32
ES,sonrisas,8.28
ES,sonrisa,8.28
ES,jajajajajajajaj,8.28
ES,jajajajajajajaja,8.28
ES,enamorarse,8.28
ES,jajajajajajajajajajaja,8.26
ES,jajajajaja,8.26
ES,love,8.26
ES,friends,8.26
ES,sonrÃ­e,8.26
ES,maravillosa,8.24
ES,besos,8.24
ES,vacaciones,8.24
ES,enamorarme,8.24
ES,Ã‰xito,8.24
ES,enamorados,8.22
ES,festejar,8.22
ES,felices,8.22
ES,mÃ©xico,8.22
ES,happy,8.22
ES,alegrÃ­a,8.22
ES,besotes,8.22
ES,vida,8.22
ES,excelente,8.2
ES,happiness,8.2
ES,hermosa,8.2
ES,jajajjajaja,8.2
ES,besote,8.2
ES,musica,8.2
ES,mamÃ¡,8.2
ES,abrazote,8.18
ES,enamorada,8.18
ES,divertido,8.18
ES,enamorado,8.18
ES,felicitaciones,8.18
ES,placer,8.16
ES,buenisimo,8.16
ES,feliiiz,8.16
ES,vivir,8.16
ES,amamos,8.16
ES,congratulations,8.16
ES,mÃºsica,8.16
ES,amarte,8.16
ES,libre,8.14
ES,triunfo,8.14
ES,risa,8.14
ES,amo,8.14
ES,jajajajjaja,8.14
ES,abrazos,8.14
ES,risas,8.14
ES,Â¡Â¡feliz,8.14
ES,madre,8.14
ES,sonreÃ­r,8.12
ES,feliiz,8.12
ES,excelentes,8.12
ES,navidad,8.12
ES,felizzzz,8.12
ES,playa,8.12
ES,alegre,8.1
ES,prosperidad,8.1
ES,amooor,8.1
ES,ajajajaja,8.1
ES,aman,8.08
ES,bella,8.08
ES,hermosas,8.08
ES,jajajajajaj,8.08
ES,#feliz,8.08
ES,feliz,8.08
ES,alegrÃ­as,8.08
ES,maravilloso,8.06
ES,inteligente,8.06
ES,confianza,8.06
ES,contento,8.04
ES,rÃ­e,8.04
ES,sabidurÃ­a,8.04
ES,amigos,8.04
ES,abrazar,8.04
ES,preciosa,8.04
ES,riendo,8.04
ES,mexico,8.04
ES,jajajajajaa,8.02
ES,enamoro,8.02
ES,sorpresa,8.02
ES,hermosos,8.02
ES,regalo,8.02
ES,besarte,8.02
ES,imaginaciÃ³n,8.02
ES,festejando,8.02
ES,besa,8.02
ES,kisses,8.02
ES,jajajajajaja,8.0
ES,corazÃ³n,8.0
ES,playita,8.0
ES,playas,8.0
ES,amoor,8.0
ES,felizz,8.0
ES,celebraciÃ³n,8.0
ES,amoâ™¥,8.0
ES,bellas,8.0
ES,guapa,8.0
