TOPIC,LANGUAGE,TYPE,DATE,EXPIRY_DATE,ATTRIBUTE,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10
2020-03-18-0,DE,ALGO,2020-03-18,,,Köln,Dortmund,Paris,Borussia,Irak,Leipzig,Frankfurt,Schmidt,Euro,Marokko
2020-03-18-1,DE,ALGO,2020-03-18,,,Spanien,Madrid,Philipp,Großbritannien,London,Brüssel,Bucht,Kate,Algeciras,Gibraltar
2020-03-18-2,DE,ALGO,2020-03-18,,,Niedersachsen,Schweiz,Deutschland,Fischer,Hannover,Frankreich,Weltbank,Bayer,France,Silvia
2020-03-18-3,DE,ALGO,2020-03-18,,,Türkei,Syrien,Russland,Iran,Libyen,Moskau,Putin,Afghanistan,Istanbul,Russlands
2020-03-18-4,DE,ALGO,2020-03-18,,,Amazon,Jürgen,Microsoft,Wang,American,West,Media,Klopp,Schwarz,Bezos
2020-03-18-5,DE,ALGO,2020-03-18,,,Schwede,Mexiko,London,USA,Kanada,Royal,Assange,Wikileaks,Becker,Maria
2020-03-18-6,DE,ALGO,2020-03-18,,,Johnson,Großbritannien,London,Street,Tom,Labour,Philip,Downing,Priti,Patel
2020-03-18-7,DE,ALGO,2020-03-18,,,Hanau,Hamburg,League,Tschentscher,Katharina,Halle,Fegebank,Scholz,Manchester,Thoma
2020-03-18-8,DE,ALGO,2020-03-18,,,Deutschland,Europa,Afrika,Hessen,Dresden,Baden-Württemberg,Mercedes,Essen,Höcke,München
2020-03-18-9,DE,ALGO,2020-03-18,,,Deutschland,SPD,CDU,Berlin,AfD,Thüringen,FDP,Thoma,Kemmerich,Hamburg
2020-03-18-10,DE,ALGO,2020-03-18,,,ÖDP,Mindeststandard,Landstraße,Röttgens,Veggie-Day,arg,Sebald,Schlachtviehs,Ich,Lechner
2020-03-18-11,DE,ALGO,2020-03-18,,,China,Coronavirus,Deutschland,Japan,Wuhan,Peking,Covid-19,WHO,Hubei,Europa
2020-03-18-12,DE,ALGO,2020-03-18,,,Trump,Sanders,Trumps,Washington,Bloomberg,Amerika,Elizabeth,Buttigieg,Warren,Biden
2020-03-18-13,DE,ALGO,2020-03-18,,,USA,Trump,Washington,Horst,Seehofer,Deutschland,Müller,Trumps,Street,Huawei
2020-03-18-14,DE,ALGO,2020-03-18,,,Eilish,Billie,Mohammed,Ciara,Oman,Church,County,Göteborg,Sudan,Joakim
2020-03-18-15,DE,ALGO,2020-03-18,,,Heil,Hubertus,Mainz,Kramer,Grundrente,Institut,Research,Bert,Kassel,VfL
2020-03-18-16,DE,ALGO,2020-03-18,,,Getty,Images,Airbus,Boeing,Antonio,WTO,Welthandelsorganisation,Kurt,Alstom,MyKiosk
2020-03-18-17,DE,ALGO,2020-03-18,,,CDU,Merz,Spahn,Laschet,Kramp-Karrenbauer,Merkel,Norbert,Röttgen,Nordrhein-Westfalen,Söder
2020-03-18-18,DE,ALGO,2020-03-18,,,Scheuer,CSU,Kai,Duisburg,Flensburg,Radler,Norddeutschland,Stress,Kenia,Code
2020-03-18-19,DE,ALGO,2020-03-18,,,Frankfurt,Obama,Main,Barcelona,World,Amazon,Congress,Comic,Berg,Ericsson
2020-03-18-20,DE,ALGO,2020-03-18,,,Deutschland,Europa,Berlin,München,Frankreich,Brüssel,Großbritannien,Macron,Volkswagen,Michel
2020-03-18-21,DE,ALGO,2020-03-18,,,Wien,Ungarn,Pol,Viktor,Wilhelm,Sowjetunion,Charles,Nordamerika,Green,Ukraine
2020-03-18-22,DE,ALGO,2020-03-18,,,Europa,Italien,Deutschland,China,Frankreich,Amerika,Paris,München,Google,Coronavirus
2020-03-18-23,DE,ALGO,2020-03-18,,,Song,Muss,Again,House,Dogg,Snoop,Run,Borcholte,Hoeneß,Alpha
2020-03-18-24,DE,ALGO,2020-03-18,,,Österreich,Instagram,Berlin,Deutschland,Daimler,Europa,Dax,Stuttgart,Google,Lufthansa
2020-03-18-25,DE,ALGO,2020-03-18,,,Europa,Frederik,Rudolf,Apple,Bäckerei,Play,Store,Scott,Pro,Falcon
2020-03-18-26,DE,ALGO,2020-03-18,,,Rheinland-Pfalz,Hitler,Karlsruhe,Baden-Württemberg,Sachsen-Anhalt,Adolf,Niedersachsen,Nordrhein-Westfalen,Wehrmacht,Augsburg
2020-03-18-27,DE,ALGO,2020-03-18,,,Bundestag,Steinmeier,UBS,Ross,Balser,Asli,Weinstein-Skandal,Noah,ktien,Adnan
2020-03-18-28,DE,ALGO,2020-03-18,,,Griechenland,NPD,Athen,Portugal,Wolfram,Spanien,Kyriakos,Mitsotakis,Eva-Maria,Alexis
2020-03-18-29,DE,ALGO,2020-03-18,,,Trump,Stone,Barr,Hanau,Mueller,Trumps,Bar,Claus,ABC,Barrs
2020-03-18-0,FR,ALGO,2020-03-18,,,GPS,Manche,Albin,Michel,Calais,Nicole,Guerre,décider,questionne,gilet
2020-03-18-1,FR,ALGO,2020-03-18,,,Rico,mexicain,Lesper,preserved,Avelina,Tricks,Nimble,Mbappé,Kylian,Paris
2020-03-18-2,FR,ALGO,2020-03-18,,,gratin,café,chaud,plat,papier,Monde,gourmand,Cuire,crumble,cuisson
2020-03-18-3,FR,ALGO,2020-03-18,,,aux,Tribune,jusqu’,Card,FIGARO,chaud,urbaines,tiédir,farines,gratin
2020-03-18-4,FR,ALGO,2020-03-18,,,France,Paris,vidéos,Macron,Monde,Griveaux,Piotr,Pavlenski,LRM,Fédération
2020-03-18-5,FR,ALGO,2020-03-18,,,Unis,Trump,Sanders,Bernie,Orient,France,Ben,Nevada,Moyen,ONU
2020-03-18-6,FR,ALGO,2020-03-18,,,Afrique,Banque,France,Sud,Francfort,Unis,World,Ebola,Mali,Burkina
2020-03-18-7,FR,ALGO,2020-03-18,,,Union,Europe,Monde,Uni,Royaume,Michel,Paris,Festival,France,Pierre
2020-03-18-8,FR,ALGO,2020-03-18,,,Berlin,Allemagne,Manhattan,piano,guitare,Hirak,Hollywood,Weinstein,jeudi,Alger
2020-03-18-9,FR,ALGO,2020-03-18,,,Chine,Unis,Covid-19,France,Europe,Paris,Sud,Japon,OMS,Pékin
2020-03-18-10,FR,ALGO,2020-03-18,,,planète,Alliance,Paris,Fabien,jusqu’,France,Cardiff,Harvard,chaud,Bürkli
2020-03-18-11,FR,ALGO,2020-03-18,,,Découvrez,Nancy,Amiens,beau,chenilles,Conférence,Ronaldo,Creil,Cristiano,Nielsen
2020-03-18-12,FR,ALGO,2020-03-18,,,France,Impact,emplit,Vegan,François,Island,Étienne,Romain,Monica,Poitiers
2020-03-18-13,FR,ALGO,2020-03-18,,,PASS,Figaro,Atlanta,Agirc,Arrco,éponyme,Jewell,Fondation,Cour,Macron
2020-03-18-14,FR,ALGO,2020-03-18,,,rendez,Michelin,Munich,Armand,France,Colin,Jeudi,Scott,antan,OTAN
2020-03-18-15,FR,ALGO,2020-03-18,,,foot,Snapchat,Swan,Kalys,Arcom,Maellia,puériculture,FJP,Ressiguier,jouet
2020-03-18-16,FR,ALGO,2020-03-18,,,Human,Rights,Watch,Objectif,nation,marketing,Mobilités,munis,former,force
2020-03-18-17,FR,ALGO,2020-03-18,,,France,Google,Amazon,Apple,Instagram,Store,Times,Unis,jusqu’,phare
2020-03-18-18,FR,ALGO,2020-03-18,,,France,Muriel,Pénicaud,Insee,quinquennat,Pôle,Macron,RTL,Clotilde,Mathieu
2020-03-18-19,FR,ALGO,2020-03-18,,,France,François,Macron,Paris,Assemblée,Hollande,Jacques,Philippe,Figaro,Pierre
2020-03-18-20,FR,ALGO,2020-03-18,,,Unis,vidéo,Apple,Android,lorsqu’,lourd,jusqu’,plat,Amazon,Google
2020-03-18-21,FR,ALGO,2020-03-18,,,révèle,France,Bar,Tunis,CDC,Diego,VTC,Centre,Jules,Bayer
2020-03-18-22,FR,ALGO,2020-03-18,,,Tchétchénie,Brésil,Microsoft,Internet,fondation,Institute,milliardaire,institut,Hopkins,Fondation
2020-03-18-23,FR,ALGO,2020-03-18,,,regard,espace,lithium,Wired,KeySmart,Chipolo,Tile,Réglages,Orbit,traqueur
2020-03-18-24,FR,ALGO,2020-03-18,,,Paris,France,Versailles,enseignement,longs,Sorbonne,Inde,Godlevskiï,VIH,goures
2020-03-18-25,FR,ALGO,2020-03-18,,,Aux,BTS,Josiane,Elias,Ecole,STD2A,Gobelins,Giammarinaro,suivaient,Boulle
2020-03-18-26,FR,ALGO,2020-03-18,,,Charles,album,Alain,Rincer,râpé,Luciani,Pierre,Souchon,Angèle,Hallyday
2020-03-18-27,FR,ALGO,2020-03-18,,,America,quotidien,ajoute,Chine,China,Matthew,jusqu’,Pékin,GIGN,Machart
2020-03-18-28,FR,ALGO,2020-03-18,,,Paris,France,Europe,jusqu’,Saint,Agnès,Buzyn,Italie,Olivier,Macron
2020-03-18-29,FR,ALGO,2020-03-18,,,Kenya,huis,Capital,Ouganda,Naples,Board,Vénétie,Nairobi,Europa,Osman
